corrupcao,sexo2,idade1,rendaf,escola,Ljato,partido2,AvalTemer,denunciaTemer
Corrupcao,Masculino,24,3,5,Ira_diminuir,0,0,Sim_deveria
.,Feminino,29,1,3,Continuara_igual,0,5,.
Corrupcao,Masculino,71,1,1,Ira_diminuir,0,0,Sim_deveria
Incompetencia,Masculino,54,1,4,Continuara_igual,0,1,Sim_deveria
Corrupcao,Masculino,50,2,6,Continuara_igual,1,2,Nao_deveria
Corrupcao,Masculino,17,3,4,Ira_diminuir,0,8,Sim_deveria
Corrupcao,Feminino,42,1,2,Ira_aumentar,.,0,Sim_deveria
Corrupcao,Feminino,36,1,1,Ira_diminuir,.,0,Sim_deveria
Corrupcao,Masculino,53,1,1,Continuara_igual,0,0,Sim_deveria
Corrupcao,Masculino,45,3,7,Ira_diminuir,0,1,Sim_deveria
Incompetencia,Masculino,53,2,5,Ira_diminuir,.,0,Sim_deveria
Corrupcao,Feminino,27,1,5,Continuara_igual,0,0,Sim_deveria
Corrupcao,Masculino,16,1,4,.,1,6,Sim_deveria
Incompetencia,Feminino,60,1,5,Ira_aumentar,0,4,Sim_deveria
Corrupcao,Feminino,61,1,1,.,1,0,Sim_deveria
.,Masculino,57,1,2,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,24,3,5,Ira_diminuir,0,5,Sim_deveria
Corrupcao,Feminino,55,1,1,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Masculino,27,1,4,Ira_diminuir,0,7,Sim_deveria
Incompetencia,Masculino,16,1,2,Continuara_igual,1,0,Sim_deveria
Corrupcao,Feminino,37,3,6,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Feminino,28,1,4,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,50,4,5,Ira_diminuir,1,0,Sim_deveria
Incompetencia,Feminino,60,1,2,Continuara_igual,.,0,Sim_deveria
Incompetencia,Masculino,59,1,1,Continuara_igual,0,5,Sim_deveria
Corrupcao,Feminino,19,1,2,Ira_diminuir,1,3,Sim_deveria
Corrupcao,Masculino,39,1,5,Continuara_igual,0,0,Sim_deveria
Incompetencia,Masculino,64,3,2,Continuara_igual,1,0,Sim_deveria
Incompetencia,Feminino,48,1,1,Ira_diminuir,1,0,Nao_deveria
Corrupcao,Feminino,21,1,5,Continuara_igual,0,5,Sim_deveria
Corrupcao,Masculino,48,1,5,Ira_diminuir,1,3,Sim_deveria
Corrupcao,Feminino,59,4,5,Continuara_igual,0,0,Sim_deveria
Corrupcao,Feminino,45,1,5,Ira_diminuir,0,3,Sim_deveria
Corrupcao,Feminino,21,1,5,Continuara_igual,1,5,Sim_deveria
Corrupcao,Masculino,24,1,5,Continuara_igual,0,0,Sim_deveria
Corrupcao,Masculino,43,4,6,Ira_diminuir,1,0,Sim_deveria
Incompetencia,Feminino,46,1,2,Continuara_igual,0,0,.
Corrupcao,Masculino,23,4,8,Ira_diminuir,0,0,Sim_deveria
Incompetencia,Masculino,16,.,2,Continuara_igual,1,0,.
Incompetencia,Feminino,35,1,5,Continuara_igual,0,0,Nao_deveria
Corrupcao,Masculino,79,3,6,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,17,4,4,Continuara_igual,0,1,Sim_deveria
Corrupcao,Feminino,21,1,6,Continuara_igual,0,0,Sim_deveria
Corrupcao,Feminino,35,1,1,Ira_diminuir,0,6,Sim_deveria
Corrupcao,Feminino,66,1,2,Continuara_igual,0,0,Sim_deveria
Corrupcao,Feminino,41,1,5,Continuara_igual,0,0,Sim_deveria
Incompetencia,Masculino,39,1,2,Ira_diminuir,1,0,Sim_deveria
Incompetencia,Feminino,53,2,5,Ira_diminuir,0,0,Sim_deveria
Incompetencia,Feminino,19,1,3,Ira_diminuir,1,6,Sim_deveria
Corrupcao,Masculino,24,1,6,Continuara_igual,0,6,Sim_deveria
Corrupcao,Masculino,33,2,2,Continuara_igual,0,0,Sim_deveria
Corrupcao,Feminino,30,1,2,Ira_aumentar,1,0,Sim_deveria
Incompetencia,Feminino,45,3,4,Ira_diminuir,1,4,Nao_deveria
Corrupcao,Masculino,28,1,5,Continuara_igual,0,6,Sim_deveria
Incompetencia,Feminino,39,1,2,Ira_diminuir,1,0,Sim_deveria
.,Feminino,51,2,3,.,1,.,.
Corrupcao,Feminino,28,1,5,Continuara_igual,.,0,Sim_deveria
Corrupcao,Masculino,56,1,3,Ira_aumentar,1,3,Sim_deveria
.,Feminino,43,1,1,Continuara_igual,1,5,.
.,Feminino,46,2,1,Ira_diminuir,1,.,.
Incompetencia,Feminino,48,1,2,Continuara_igual,1,7,Sim_deveria
Corrupcao,Feminino,60,.,1,Ira_aumentar,0,0,Sim_deveria
Incompetencia,Masculino,58,1,4,Ira_diminuir,0,0,Sim_deveria
Corrupcao,Masculino,69,1,5,Ira_diminuir,1,3,Nao_deveria
Corrupcao,Feminino,44,1,2,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Masculino,46,3,2,Ira_diminuir,0,0,Sim_deveria
Corrupcao,Masculino,35,3,5,Ira_diminuir,0,0,Sim_deveria
Incompetencia,Masculino,23,3,5,Continuara_igual,1,4,Sim_deveria
Corrupcao,Feminino,51,.,2,Continuara_igual,1,0,Sim_deveria
Incompetencia,Feminino,16,1,2,Ira_diminuir,0,5,Sim_deveria
Corrupcao,Masculino,54,1,2,Ira_diminuir,0,0,Sim_deveria
Corrupcao,Feminino,51,1,2,Ira_aumentar,.,10,.
Corrupcao,Masculino,70,4,7,Ira_diminuir,1,4,Sim_deveria
Incompetencia,Masculino,28,1,5,Ira_diminuir,1,2,Sim_deveria
Corrupcao,Masculino,60,4,5,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Feminino,47,1,7,Ira_aumentar,1,4,Sim_deveria
Corrupcao,Masculino,56,1,2,Ira_diminuir,1,7,Sim_deveria
Incompetencia,Feminino,27,2,7,Continuara_igual,1,0,Sim_deveria
Incompetencia,Masculino,33,1,2,Ira_diminuir,0,2,Sim_deveria
Incompetencia,Feminino,51,4,5,Ira_diminuir,0,7,Nao_deveria
.,Feminino,57,.,1,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Masculino,64,2,2,Ira_diminuir,1,0,Sim_deveria
Incompetencia,Masculino,64,2,1,Continuara_igual,1,8,Sim_deveria
Corrupcao,Feminino,51,1,5,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Masculino,41,1,2,Ira_diminuir,0,0,Sim_deveria
.,Feminino,61,1,3,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,61,3,6,Ira_diminuir,1,3,Nao_deveria
Incompetencia,Feminino,78,1,2,Ira_diminuir,1,5,.
Incompetencia,Masculino,62,2,2,Continuara_igual,0,1,Sim_deveria
Incompetencia,Feminino,78,1,2,Ira_diminuir,1,5,Sim_deveria
Corrupcao,Feminino,54,3,4,Ira_diminuir,.,0,Sim_deveria
Corrupcao,Masculino,29,4,8,Continuara_igual,.,3,Sim_deveria
Corrupcao,Feminino,48,1,2,Continuara_igual,1,0,Sim_deveria
Corrupcao,Feminino,31,1,5,Ira_diminuir,1,0,Sim_deveria
Incompetencia,Masculino,69,2,1,Ira_diminuir,1,4,Sim_deveria
Corrupcao,Feminino,30,3,5,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Masculino,48,2,2,Ira_diminuir,0,0,Sim_deveria
Incompetencia,Masculino,26,1,6,Ira_diminuir,0,3,Sim_deveria
Corrupcao,Feminino,56,1,1,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,50,2,5,Ira_diminuir,1,0,Sim_deveria
Incompetencia,Masculino,67,2,2,Continuara_igual,1,7,Sim_deveria
Incompetencia,Feminino,60,5,7,Ira_diminuir,0,1,Sim_deveria
Corrupcao,Masculino,21,4,6,Continuara_igual,0,4,Sim_deveria
Corrupcao,Masculino,61,2,2,Ira_diminuir,0,8,Nao_deveria
Incompetencia,Feminino,37,3,2,Ira_aumentar,0,8,Sim_deveria
Incompetencia,Masculino,47,1,5,Continuara_igual,1,4,Sim_deveria
Incompetencia,Masculino,71,1,2,Ira_aumentar,0,0,Sim_deveria
Corrupcao,Masculino,52,7,5,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Feminino,36,1,6,Ira_diminuir,0,2,Sim_deveria
Corrupcao,Masculino,24,4,5,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,36,1,5,Ira_diminuir,0,5,Sim_deveria
Incompetencia,Masculino,37,4,5,Ira_aumentar,0,0,Sim_deveria
Corrupcao,Feminino,42,2,5,Ira_diminuir,1,4,Sim_deveria
Corrupcao,Masculino,24,2,5,Ira_diminuir,0,6,Sim_deveria
Corrupcao,Feminino,59,4,8,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Feminino,70,1,5,Ira_diminuir,1,8,Sim_deveria
Corrupcao,Feminino,37,2,4,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Feminino,29,4,8,Continuara_igual,1,5,Sim_deveria
Corrupcao,Feminino,47,1,5,Ira_diminuir,1,5,Sim_deveria
Corrupcao,Masculino,49,3,5,Continuara_igual,0,5,Sim_deveria
Corrupcao,Masculino,34,4,7,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Feminino,71,1,1,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Masculino,70,2,1,Ira_diminuir,1,10,Nao_deveria
Corrupcao,Feminino,46,1,2,Ira_diminuir,.,6,Sim_deveria
.,Feminino,69,1,1,.,1,.,.
Corrupcao,Masculino,38,1,5,Ira_diminuir,0,3,Sim_deveria
Corrupcao,Feminino,73,1,3,Continuara_igual,1,2,Sim_deveria
Corrupcao,Masculino,36,3,7,Ira_diminuir,1,4,Sim_deveria
Corrupcao,Feminino,29,1,4,Ira_diminuir,0,0,Nao_deveria
Corrupcao,Feminino,31,1,2,Continuara_igual,1,0,Sim_deveria
Corrupcao,Feminino,18,1,5,Ira_diminuir,1,2,Sim_deveria
Corrupcao,Feminino,34,3,7,Ira_diminuir,1,5,Sim_deveria
Incompetencia,Masculino,63,2,4,Continuara_igual,0,8,Sim_deveria
Incompetencia,Feminino,32,1,1,.,1,7,Sim_deveria
Corrupcao,Feminino,58,3,8,Ira_aumentar,1,0,Sim_deveria
Incompetencia,Feminino,72,1,2,.,0,0,Sim_deveria
Corrupcao,Masculino,39,2,5,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Masculino,23,3,5,Ira_diminuir,1,5,Sim_deveria
Corrupcao,Feminino,29,1,2,.,.,5,Sim_deveria
Incompetencia,Masculino,52,4,5,Continuara_igual,1,7,Sim_deveria
Corrupcao,Masculino,18,3,5,Ira_diminuir,0,5,Nao_deveria
Incompetencia,Masculino,54,1,1,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,36,3,5,Ira_diminuir,0,3,Sim_deveria
Corrupcao,Feminino,21,1,4,Continuara_igual,1,2,Sim_deveria
Corrupcao,Feminino,52,3,5,Continuara_igual,1,2,Sim_deveria
Corrupcao,Feminino,45,3,2,Continuara_igual,1,0,Sim_deveria
Corrupcao,Feminino,18,1,2,Ira_diminuir,1,0,Sim_deveria
Incompetencia,Feminino,64,1,5,Continuara_igual,1,0,Sim_deveria
Corrupcao,Feminino,30,1,5,Ira_diminuir,1,2,Sim_deveria
Corrupcao,Feminino,61,1,5,Ira_diminuir,1,2,Sim_deveria
Incompetencia,Masculino,43,3,2,Ira_diminuir,0,0,Sim_deveria
Incompetencia,Masculino,78,1,1,Ira_diminuir,1,5,Sim_deveria
Corrupcao,Masculino,18,3,5,Continuara_igual,0,4,Sim_deveria
Incompetencia,Feminino,28,1,4,Continuara_igual,.,5,Sim_deveria
Incompetencia,Masculino,53,1,3,Ira_diminuir,0,3,Sim_deveria
Corrupcao,Feminino,36,3,5,Ira_diminuir,0,0,Sim_deveria
Incompetencia,Masculino,68,2,1,Continuara_igual,0,8,Nao_deveria
Incompetencia,Masculino,39,3,5,Ira_diminuir,1,1,Sim_deveria
Incompetencia,Feminino,30,1,5,Ira_aumentar,1,0,Sim_deveria
Incompetencia,Feminino,20,1,5,Ira_diminuir,0,0,Sim_deveria
Incompetencia,Feminino,47,1,2,Ira_diminuir,0,5,Sim_deveria
Corrupcao,Feminino,41,3,7,Ira_diminuir,1,0,Sim_deveria
.,Feminino,61,1,1,.,0,1,.
Corrupcao,Feminino,22,4,6,Continuara_igual,1,6,Sim_deveria
Incompetencia,Feminino,18,1,5,Ira_diminuir,1,0,Sim_deveria
Incompetencia,Masculino,31,1,5,Ira_diminuir,0,5,Sim_deveria
Corrupcao,Feminino,52,1,2,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,40,1,2,Ira_diminuir,0,3,Sim_deveria
Corrupcao,Feminino,22,2,7,Continuara_igual,1,3,Sim_deveria
Incompetencia,Masculino,23,2,5,Ira_diminuir,0,5,Sim_deveria
Corrupcao,Masculino,54,2,5,Ira_diminuir,0,0,Sim_deveria
Corrupcao,Masculino,27,1,5,Ira_diminuir,0,0,Sim_deveria
Corrupcao,Feminino,38,1,5,Continuara_igual,1,0,Sim_deveria
Incompetencia,Masculino,26,1,4,Continuara_igual,1,5,Sim_deveria
Corrupcao,Masculino,56,1,2,Continuara_igual,1,6,Sim_deveria
Incompetencia,Masculino,38,1,3,.,1,4,Sim_deveria
Incompetencia,Masculino,32,2,8,Ira_diminuir,1,7,Sim_deveria
Corrupcao,Feminino,51,2,5,Ira_aumentar,1,0,Sim_deveria
Incompetencia,Masculino,19,1,5,Ira_diminuir,0,0,Sim_deveria
Corrupcao,Feminino,25,2,7,Continuara_igual,1,5,Sim_deveria
Corrupcao,Feminino,21,1,4,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,22,2,6,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Feminino,40,3,5,Continuara_igual,1,5,Sim_deveria
Incompetencia,Masculino,35,1,5,Continuara_igual,0,4,Sim_deveria
Corrupcao,Feminino,33,4,8,.,0,2,Sim_deveria
Corrupcao,Feminino,32,1,5,Continuara_igual,1,8,Sim_deveria
Corrupcao,Feminino,34,3,6,Continuara_igual,1,0,Sim_deveria
Corrupcao,Feminino,58,1,7,Ira_aumentar,1,0,Sim_deveria
Incompetencia,Masculino,21,2,5,Continuara_igual,1,0,Sim_deveria
