temer;deputados;politicos;aborto;regiao;escolaridade;sexo;idade;freqmissa;impreligiao;renda;protest;policiaprop;publiprop;propina;miliprop;assassinato;confjust;confinst;confsistema;orgulhosist;apoio;orgulhobra;confexercito;confcongresso;confmilitar;confpartido;confpresidente;confcomunic;confeleicao
Very Bad;Neither well nor poorly;All;Nao;Região Norte;11;Male;25;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;No;1;4;2;3;5;6;7;3;2;5;7;2;6
Good;Neither well nor poorly;Half of them;Sim;Região Norte;7;Male;51;More than once a week;Very Important;2;No, I have not participated;No;No;No;No;Yes;6;6;2;2;6;7;7;6;7;3;5;4;6
Very Bad;Neither well nor poorly;More than half of them;Nao;Região Nordeste;4;Male;28;Once or twice a year;Very Important;2;No, I have not participated;No;No;No;No;No;6;5;1;2;7;6;7;1;7;2;3;7;1
Good;Neither well nor poorly;All;Sim;Região Sudeste;8;Female;17;More than once a week;Very Important;1;No, I have not participated;No;No;No;No;Yes;1;7;1;1;1;1;7;1;1;1;7;7;7
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Sudeste;9;Male;26;Never or almost never;Very Important;NA;No, I have not participated;No;No;No;No;Yes;6;6;3;5;3;7;7;NA;7;1;1;7;2
Bad;Poorly;Less than half of them;Nao;Região Nordeste;11;Male;37;Once a month;Very Important;2;Yes, I have participated;No;No;No;No;No;5;6;4;7;6;7;5;2;3;5;5;7;6
Very Bad;Poorly;More than half of them;Sim;Região Nordeste;1;Male;58;Once a month;Very Important;2;No, I have not participated;No;No;No;No;No;2;3;2;3;4;7;6;3;5;2;1;3;4
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Nordeste;7;Female;34;Once or twice a year;Very Important;2;No, I have not participated;No;No;No;No;No;7;1;3;7;2;7;7;2;5;1;2;7;3
Neither Good nor Bad (Fair);Poorly;All;Nao;Região Norte;10;Male;21;Never or almost never;Very Important;2;No, I have not participated;No;No;No;No;No;3;6;5;2;4;7;7;4;7;4;5;4;6
Good;Neither well nor poorly;Half of them;Sim;Região Sudeste;8;Male;26;Once or twice a year;Very Important;2;No, I have not participated;No;No;No;No;Yes;6;7;7;7;7;7;7;7;7;6;7;7;7
Neither Good nor Bad (Fair);Poorly;NA;Sim;Região Nordeste;0;Female;45;Once or twice a year;Very Important;3;No, I have not participated;No;No;No;No;No;3;7;4;3;7;7;4;5;3;2;7;4;2
Very Bad;Poorly;More than half of them;Sim;Região Nordeste;11;Female;53;Once a week;Very Important;8;No, I have not participated;No;No;No;No;No;5;7;3;1;7;7;5;1;7;2;1;6;2
Very Bad;Poorly;Half of them;Sim;Região Nordeste;4;Female;50;Once a week;Very Important;2;Yes, I have participated;No;No;No;No;Yes;5;6;4;5;4;7;6;6;7;4;2;6;5
Very Bad;Neither well nor poorly;None;Nao;Região Sudeste;0;Female;49;Once a month;Not Important at All;3;No, I have not participated;No;No;No;No;No;7;1;1;1;1;7;1;1;1;1;1;4;1
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Sim;Região Norte;5;Female;47;More than once a week;Very Important;2;Yes, I have participated;No;No;No;No;No;3;6;4;4;7;7;5;6;4;4;2;6;2
Neither Good nor Bad (Fair);Very poorly;All;Nao;Região Nordeste;4;Female;55;Never or almost never;Very Important;4;No, I have not participated;No;No;No;No;Yes;1;3;1;7;5;7;5;1;1;3;1;4;1
Very Bad;Very poorly;All;Nao;Região Norte;0;Male;48;More than once a week;Not Very Important;NA;No, I have not participated;No;No;No;No;No;1;1;2;2;2;7;7;7;7;7;1;1;7
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Nordeste;3;Male;61;Once a month;Very Important;7;Yes, I have participated;No;No;No;No;No;3;5;2;1;2;3;5;2;2;3;1;3;1
Very Bad;Very poorly;More than half of them;Nao;Região Nordeste;1;Male;61;More than once a week;Very Important;4;No, I have not participated;No;No;No;No;Yes;1;1;1;1;1;7;7;1;5;1;1;7;1
Very Bad;Very poorly;All;Nao;Região Nordeste;14;Female;52;More than once a week;Very Important;7;No, I have not participated;No;No;No;No;Yes;4;3;1;1;2;4;3;2;1;1;2;2;2
Bad;Neither well nor poorly;All;Nao;Região Nordeste;5;Male;59;Once or twice a year;Very Important;2;No, I have not participated;No;No;Yes;No;Yes;7;7;2;2;4;7;7;7;7;4;1;5;6
Neither Good nor Bad (Fair);Very poorly;Half of them;Nao;Região Nordeste;10;Female;30;Once a month;Very Important;2;No, I have not participated;No;No;No;No;No;3;5;4;6;2;7;4;3;6;4;5;6;4
Neither Good nor Bad (Fair);Poorly;More than half of them;Sim;Região Centro-Oeste;3;Male;52;Never or almost never;Very Important;3;No, I have not participated;No;No;No;No;No;2;2;2;7;4;7;6;2;4;2;1;4;2
Neither Good nor Bad (Fair);Poorly;All;Sim;Região Norte;7;Female;53;More than once a week;Very Important;6;No, I have not participated;No;No;No;No;Yes;5;3;5;3;1;7;6;5;7;6;4;5;2
Very Bad;Neither well nor poorly;Half of them;Nao;Região Nordeste;7;Female;25;Once a month;Very Important;2;No, I have not participated;No;No;No;No;No;6;7;5;4;2;3;1;2;5;3;1;6;4
Very Bad;Very poorly;Half of them;Nao;Região Sudeste;0;Female;46;Once a week;Very Important;5;No, I have not participated;No;No;No;No;No;1;NA;6;3;4;7;NA;NA;NA;NA;NA;5;NA
Bad;Neither well nor poorly;Half of them;Sim;Região Nordeste;15;Female;38;Once a month;Very Important;2;Yes, I have participated;Yes;Yes;No;Yes;Yes;1;3;1;2;1;2;2;1;1;1;1;1;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sul;5;Female;68;Once a week;Very Important;NA;No, I have not participated;No;No;No;No;No;6;4;NA;3;2;7;7;5;7;4;6;6;5
